projectName,feedbackQuestionName,dateStart,dateEnd,userEmail,checkedAnswer,textAnswer
Lam-Garrison Initiative,Did the project meet your expectations? Please rate from 1 to 5,28-08-2022,03-09-2022,beth95@example.com,,
"Lam, Fisher and Abbott Project",How would you rate the level of client satisfaction with the project outcomes?,12-11-2023,18-11-2023,douglassmith@example.net,4.0,
"Adams, Stewart and Thompson Initiative",How satisfied are you with the level of transparency in project communication?,13-08-2023,19-08-2023,dawnrivas@example.com,,
"Hale, Gray and Martinez Initiative",Were the project goals clearly defined? Please rate from 1 to 5,30-10-2022,05-11-2022,evan37@example.org,1.0,
"Smith, Richard and Arroyo Project",How would you rate the problem-solving skills of the team?,13-11-2022,19-11-2022,fisheralexandra@example.com,,
"Webster, Wiley and Phillips Project",Rate the effectiveness of the project management on a scale of 1 to 5,03-09-2023,09-09-2023,martinbruce@example.org,4.0,Good
Warren-Ingram Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,23-10-2022,29-10-2022,jackson20@example.net,4.0,
Nolan-Clark Initiative,Rate the level of adaptability shown by the team members on a scale of 1 to 5,01-10-2023,07-10-2023,ptaylor@example.net,4.0,
White-Holland Solution,How satisfied are you with the overall progress of the project?,17-04-2022,23-04-2022,jimmymendoza@example.net,4.0,
"Hall, Copeland and Fuller Solution",Did the project meet your expectations? Please rate from 1 to 5,08-01-2023,14-01-2023,oparker@example.net,2.0,
Shaw-Lara Solution,How satisfied are you with the overall progress of the project?,27-11-2022,03-12-2022,qwilliamson@example.net,3.0,Fair
Shaw-Lara Solution,Rate the effectiveness of the project management on a scale of 1 to 5,23-04-2023,29-04-2023,kconner@example.org,,Excellent
Nguyen-Cox Initiative,Rate the communication between team members on a scale of 1 to 5,22-05-2022,28-05-2022,sheilahayden@example.org,3.0,
"Smith, Richard and Arroyo Project",Rate the level of adaptability shown by the team members on a scale of 1 to 5,19-11-2023,25-11-2023,gabrielalvarez@example.org,4.0,
Miller Group Project,Rate the accuracy of the project budget estimation from 1 to 5,30-10-2022,05-11-2022,jose45@example.org,5.0,Good
Rodriguez-Fletcher Solution,Did you find the project timeline realistic? Please rate from 1 to 5,24-09-2023,30-09-2023,howard02@example.com,4.0,
Bell-Henderson Project,Were the project goals clearly defined? Please rate from 1 to 5,16-10-2022,22-10-2022,carlsonerica@example.net,2.0,
"Hale, Gray and Martinez Initiative",Did you find the project timeline realistic? Please rate from 1 to 5,23-10-2022,29-10-2022,devon43@example.net,3.0,
Lewis PLC Project,Rate the effectiveness of the project management on a scale of 1 to 5,15-01-2023,21-01-2023,hollandmichael@example.net,5.0,
Pierce and Sons Solution,Were the project resources allocated efficiently? Please rate from 1 to 5,29-05-2022,04-06-2022,meredithwhite@example.org,2.0,
Davis-Sullivan Project,Rate the level of stakeholder engagement on a scale of 1 to 5,26-11-2023,02-12-2023,anthonyjoseph@example.org,5.0,Poor
Boyer Inc Solution,How satisfied are you with the project deliverables?,12-03-2023,18-03-2023,elozano@example.org,1.0,
Boyer Inc Solution,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,23-07-2023,29-07-2023,schwartzronald@example.com,2.0,
Shaffer-Donovan Initiative,Rate the level of innovation demonstrated in the project from 1 to 5,08-01-2023,14-01-2023,kingscott@example.org,5.0,
Lewis PLC Project,How satisfied are you with the level of collaboration within the team?,09-07-2023,15-07-2023,westjoshua@example.org,3.0,
Lam-Garrison Initiative,How would you rate the level of client satisfaction with the project outcomes?,31-03-2024,06-04-2024,jodimeyer@example.org,,
Thomas Inc Project,Did the project meet your expectations? Please rate from 1 to 5,09-04-2023,15-04-2023,ecarr@example.com,1.0,
"Webster, Wiley and Phillips Project",How would you rate the quality of work delivered by the team?,26-11-2023,02-12-2023,cindylandry@example.net,,Good
Lam-Garrison Initiative,How satisfied are you with the project deliverables?,23-04-2023,29-04-2023,padillajennifer@example.net,5.0,
"Monroe, Campbell and Mack Initiative",How satisfied are you with the overall progress of the project?,04-06-2023,10-06-2023,katieberry@example.org,4.0,
Lucas Inc Initiative,Rate the level of adaptability shown by the team members on a scale of 1 to 5,19-11-2023,25-11-2023,felicia68@example.org,3.0,Good
"Hall, Copeland and Fuller Solution",How satisfied are you with the level of collaboration within the team?,05-02-2023,11-02-2023,smithashley@example.com,2.0,
Bailey-Jimenez Solution,Rate the level of stakeholder engagement on a scale of 1 to 5,04-09-2022,10-09-2022,bethany89@example.com,5.0,
Hale-Aguilar Solution,Did the project meet your expectations? Please rate from 1 to 5,15-01-2023,21-01-2023,omclaughlin@example.com,3.0,
Harrison LLC Solution,How would you rate the level of client satisfaction with the project outcomes?,17-07-2022,23-07-2022,vmiddleton@example.org,4.0,
Shaw-Lara Solution,Did you find the project timeline realistic? Please rate from 1 to 5,04-02-2024,10-02-2024,hermancaitlin@example.net,4.0,
"Lam, Fisher and Abbott Project",Did you find the project timeline realistic? Please rate from 1 to 5,19-03-2023,25-03-2023,vanessa43@example.org,3.0,
Lewis PLC Project,Were the project risks effectively managed? Please rate from 1 to 5,18-06-2023,24-06-2023,kathy89@example.org,,
"Johnson, Pierce and Davis Project",Did you find the project timeline realistic? Please rate from 1 to 5,30-07-2023,05-08-2023,julia27@example.com,,Fair
Bailey-Jimenez Solution,Rate the communication between team members on a scale of 1 to 5,09-04-2023,15-04-2023,aburke@example.com,3.0,
Nguyen-Cox Initiative,How satisfied are you with the level of transparency in project communication?,01-05-2022,07-05-2022,kbarnes@example.com,2.0,Good
Thomas Inc Project,Rate the level of adaptability shown by the team members on a scale of 1 to 5,19-02-2023,25-02-2023,ewingdustin@example.net,5.0,Poor
"Adams, Stewart and Thompson Initiative",How satisfied are you with the project deliverables?,26-06-2022,02-07-2022,mccoymegan@example.com,3.0,
Martinez Inc Solution,How satisfied are you with the level of collaboration within the team?,05-03-2023,11-03-2023,millerwendy@example.org,2.0,
"Hale, Gray and Martinez Initiative",Were the project goals clearly defined? Please rate from 1 to 5,10-03-2024,16-03-2024,diane50@example.net,5.0,
"Hale, Gray and Martinez Initiative",How would you rate the level of client satisfaction with the project outcomes?,16-04-2023,22-04-2023,thomasgarcia@example.net,,
Weaver Group Solution,How satisfied are you with the overall progress of the project?,15-01-2023,21-01-2023,jerrysteele@example.com,2.0,
Williams LLC Initiative,How would you rate the problem-solving skills of the team?,12-03-2023,18-03-2023,jeff77@example.org,4.0,
Roberts Ltd Initiative,Did the project meet your expectations? Please rate from 1 to 5,29-01-2023,04-02-2023,ydelgado@example.com,,Good
Nguyen-Cox Initiative,Rate the communication between team members on a scale of 1 to 5,13-11-2022,19-11-2022,uroach@example.org,,
Shaw-Lara Solution,How satisfied are you with the level of transparency in project communication?,17-07-2022,23-07-2022,sara02@example.com,3.0,
"Hale, Gray and Martinez Initiative",Rate the level of innovation demonstrated in the project from 1 to 5,04-06-2023,10-06-2023,hunterkimberly@example.com,1.0,
White-Holland Solution,Were the project risks effectively managed? Please rate from 1 to 5,11-12-2022,17-12-2022,tammybrown@example.net,4.0,Poor
"Hall, Copeland and Fuller Solution",Were the project resources allocated efficiently? Please rate from 1 to 5,14-01-2024,20-01-2024,kenglish@example.com,5.0,
Ford-Gibson Project,Did the project meet the specified deadlines? Please rate from 1 to 5,09-07-2023,15-07-2023,carlosmartinez@example.com,4.0,
"Monroe, Campbell and Mack Initiative",Rate the accuracy of the project budget estimation from 1 to 5,23-07-2023,29-07-2023,mitchelldominique@example.net,1.0,
"Rice, Jones and Harris Initiative",Were the project goals clearly defined? Please rate from 1 to 5,06-11-2022,12-11-2022,vwang@example.org,1.0,Good
"Smith, Richard and Arroyo Project",How would you rate the quality of work delivered by the team?,18-06-2023,24-06-2023,glee@example.com,2.0,
"Smith, Richard and Arroyo Project",How would you rate the problem-solving skills of the team?,14-01-2024,20-01-2024,elizabethjacobson@example.com,1.0,
Hale-Aguilar Solution,Rate the communication between team members on a scale of 1 to 5,29-01-2023,04-02-2023,bairddaniel@example.org,2.0,
Vasquez PLC Initiative,How satisfied are you with the level of collaboration within the team?,04-06-2023,10-06-2023,stevenschristina@example.com,4.0,
Carson-Clayton Initiative,How would you rate the problem-solving skills of the team?,10-07-2022,16-07-2022,ariel42@example.org,5.0,Average
"Monroe, Campbell and Mack Initiative",How would you rate the problem-solving skills of the team?,03-03-2024,09-03-2024,hamiltonscott@example.net,3.0,
Pierce and Sons Solution,Were the project risks effectively managed? Please rate from 1 to 5,31-03-2024,06-04-2024,urichardson@example.org,2.0,
Shaffer-Donovan Initiative,Did you find the project timeline realistic? Please rate from 1 to 5,19-06-2022,25-06-2022,ballbrandon@example.com,,
Rodriguez-Fletcher Solution,How would you rate the level of client satisfaction with the project outcomes?,26-03-2023,01-04-2023,thompsonjohn@example.com,2.0,
Morgan Inc Project,Did the project meet your expectations? Please rate from 1 to 5,01-10-2023,07-10-2023,sara79@example.net,2.0,
"Monroe, Campbell and Mack Initiative",How would you rate the level of client satisfaction with the project outcomes?,22-10-2023,28-10-2023,kelly70@example.org,2.0,Good
Harrison LLC Solution,Rate the level of adaptability shown by the team members on a scale of 1 to 5,11-02-2024,17-02-2024,patrickthomas@example.org,4.0,
Hale-Aguilar Solution,How would you rate the problem-solving skills of the team?,31-03-2024,06-04-2024,edwinkeller@example.com,3.0,Poor
Warren-Ingram Initiative,How would you rate the level of client satisfaction with the project outcomes?,05-06-2022,11-06-2022,gmarquez@example.org,5.0,
Ford-Gibson Project,Rate the communication between team members on a scale of 1 to 5,10-09-2023,16-09-2023,xsnyder@example.com,3.0,
Shaffer-Donovan Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,14-08-2022,20-08-2022,ashleybooth@example.com,,
White-Lozano Project,How would you rate the quality of work delivered by the team?,16-07-2023,22-07-2023,walter13@example.org,4.0,Excellent
Lyons-Harrison Initiative,How would you rate the quality of work delivered by the team?,22-05-2022,28-05-2022,james26@example.org,4.0,
Roberts Ltd Initiative,Rate the level of adaptability shown by the team members on a scale of 1 to 5,08-05-2022,14-05-2022,lynnelizabeth@example.org,5.0,
Boyer Inc Solution,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,10-09-2023,16-09-2023,apowell@example.com,3.0,Poor
Thomas Inc Project,Were the project goals clearly defined? Please rate from 1 to 5,21-01-2024,27-01-2024,elizabethowen@example.com,5.0,
Roberts Ltd Initiative,How would you rate the problem-solving skills of the team?,25-09-2022,01-10-2022,krodgers@example.net,2.0,Excellent
Clark Group Initiative,Rate the accuracy of the project budget estimation from 1 to 5,24-03-2024,30-03-2024,kingjack@example.com,1.0,Excellent
Morgan Inc Project,Rate the effectiveness of the project management on a scale of 1 to 5,10-04-2022,16-04-2022,smithjean@example.net,4.0,
Hale-Aguilar Solution,How satisfied are you with the overall progress of the project?,01-10-2023,07-10-2023,edwinkeller@example.com,,Good
White-Lozano Project,Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,25-12-2022,31-12-2022,qfoster@example.org,2.0,
Roberts Ltd Initiative,How would you rate the level of client satisfaction with the project outcomes?,15-10-2023,21-10-2023,bgonzalez@example.net,,
Lyons-Harrison Initiative,How would you rate the quality of work delivered by the team?,17-07-2022,23-07-2022,morenodavid@example.net,4.0,Average
"Smith, Richard and Arroyo Project",Rate the effectiveness of the project feedback mechanisms on a scale of 1 to 5,09-10-2022,15-10-2022,vincent88@example.org,4.0,
"Rice, Jones and Harris Initiative",Were the project goals clearly defined? Please rate from 1 to 5,12-03-2023,18-03-2023,nealgabriel@example.com,1.0,
Martinez Inc Solution,Were the project goals clearly defined? Please rate from 1 to 5,10-09-2023,16-09-2023,victoria46@example.org,5.0,
Wright PLC Solution,Did the project meet your expectations? Please rate from 1 to 5,24-04-2022,30-04-2022,andreaaustin@example.net,1.0,
Harrison LLC Solution,Rate the level of adaptability shown by the team members on a scale of 1 to 5,05-06-2022,11-06-2022,brianhodges@example.com,3.0,Fair
Knox-Pope Initiative,Did the project meet your expectations? Please rate from 1 to 5,14-08-2022,20-08-2022,danielle86@example.org,,
Thomas Inc Project,Were the project goals clearly defined? Please rate from 1 to 5,10-09-2023,16-09-2023,johnsonalison@example.com,1.0,Good
Lyons-Harrison Initiative,How satisfied are you with the level of transparency in project communication?,05-03-2023,11-03-2023,rodney15@example.net,4.0,
"Adams, Stewart and Thompson Initiative",How satisfied are you with the level of transparency in project communication?,08-10-2023,14-10-2023,gonzalezbrenda@example.org,2.0,
Boyer Inc Solution,Were the project risks effectively managed? Please rate from 1 to 5,25-02-2024,02-03-2024,jacksonkristin@example.org,5.0,Fair
"Adams, Stewart and Thompson Initiative",Were the project goals clearly defined? Please rate from 1 to 5,19-03-2023,25-03-2023,perkinsvanessa@example.com,1.0,
Rodriguez-Fletcher Solution,Did you find the project timeline realistic? Please rate from 1 to 5,14-08-2022,20-08-2022,smithrandall@example.net,1.0,
"Hall, Copeland and Fuller Solution",Rate the level of adaptability shown by the team members on a scale of 1 to 5,05-02-2023,11-02-2023,slewis@example.org,5.0,Average
Thomas Inc Project,Rate the accuracy of the project budget estimation from 1 to 5,19-11-2023,25-11-2023,evelynhenderson@example.org,5.0,Excellent
Bell-Henderson Project,Rate the communication between team members on a scale of 1 to 5,05-03-2023,11-03-2023,joeoneill@example.com,5.0,
Morgan Inc Project,Rate the accuracy of the project budget estimation from 1 to 5,11-12-2022,17-12-2022,christina87@example.net,,Average
Wright PLC Solution,Rate the level of adaptability shown by the team members on a scale of 1 to 5,15-01-2023,21-01-2023,stanleysilva@example.net,4.0,
Singh Ltd Solution,How satisfied are you with the overall progress of the project?,25-06-2023,01-07-2023,johnserrano@example.org,1.0,
Shaw-Lara Solution,Were the project goals clearly defined? Please rate from 1 to 5,07-01-2024,13-01-2024,owilson@example.org,4.0,
White-Holland Solution,Rate the communication between team members on a scale of 1 to 5,04-06-2023,10-06-2023,echandler@example.com,2.0,
Lewis PLC Project,Did you find the project timeline realistic? Please rate from 1 to 5,22-05-2022,28-05-2022,nelsonmark@example.com,4.0,
"Lam, Fisher and Abbott Project",Rate the level of innovation demonstrated in the project from 1 to 5,01-10-2023,07-10-2023,pachecolaura@example.com,,
Hale-Aguilar Solution,Were the project risks effectively managed? Please rate from 1 to 5,11-06-2023,17-06-2023,vangadam@example.net,1.0,
Rodriguez-Fletcher Solution,Rate the effectiveness of the project management on a scale of 1 to 5,26-11-2023,02-12-2023,smithrandall@example.net,3.0,
Morgan Inc Project,How would you rate the quality of work delivered by the team?,06-11-2022,12-11-2022,reynoldsmckenzie@example.net,4.0,
"Johnson, Pierce and Davis Project",Rate the effectiveness of the project management on a scale of 1 to 5,09-10-2022,15-10-2022,usmith@example.org,5.0,Poor
Lyons-Harrison Initiative,Rate the accuracy of the project budget estimation from 1 to 5,19-11-2023,25-11-2023,cheryl15@example.org,4.0,
Lucas Inc Initiative,Were the project goals clearly defined? Please rate from 1 to 5,22-01-2023,28-01-2023,susanirwin@example.com,5.0,Fair
Williams LLC Initiative,Rate the communication between team members on a scale of 1 to 5,17-07-2022,23-07-2022,leemichael@example.net,3.0,
Harrison LLC Solution,How satisfied are you with the overall progress of the project?,11-06-2023,17-06-2023,georgewalker@example.com,5.0,Good
Hale-Aguilar Solution,Did the project meet the specified deadlines? Please rate from 1 to 5,28-01-2024,03-02-2024,richardsdenise@example.net,5.0,Poor
Harrison LLC Solution,How would you rate the quality of work delivered by the team?,30-10-2022,05-11-2022,juan82@example.net,,Fair
Shaffer-Donovan Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,06-11-2022,12-11-2022,jonathan54@example.com,3.0,
"Johnson, Pierce and Davis Project",Were the project goals clearly defined? Please rate from 1 to 5,08-10-2023,14-10-2023,joannedavis@example.net,3.0,
Roberts Ltd Initiative,Were the project resources allocated efficiently? Please rate from 1 to 5,04-12-2022,10-12-2022,pevans@example.net,4.0,
"Johnson, Pierce and Davis Project",Rate the effectiveness of the project management on a scale of 1 to 5,10-04-2022,16-04-2022,xsanders@example.org,5.0,
"Johnson, Pierce and Davis Project",Did the project meet the specified deadlines? Please rate from 1 to 5,12-02-2023,18-02-2023,fosterashley@example.org,3.0,
Ford-Gibson Project,Rate the communication between team members on a scale of 1 to 5,13-11-2022,19-11-2022,jason31@example.com,2.0,
Bailey-Jimenez Solution,Rate the level of adaptability shown by the team members on a scale of 1 to 5,24-12-2023,30-12-2023,vegamegan@example.org,5.0,
Hale-Aguilar Solution,Rate the accuracy of the project budget estimation from 1 to 5,07-04-2024,13-04-2024,jacksonmario@example.org,2.0,
Harrison LLC Solution,Did the project meet the specified deadlines? Please rate from 1 to 5,26-11-2023,02-12-2023,qbruce@example.net,2.0,
"Rice, Jones and Harris Initiative",How would you rate the problem-solving skills of the team?,31-12-2023,06-01-2024,scott92@example.org,3.0,
Love Inc Initiative,How would you rate the quality of work delivered by the team?,02-10-2022,08-10-2022,greenejill@example.net,1.0,
Morgan Inc Project,How would you rate the level of client satisfaction with the project outcomes?,14-08-2022,20-08-2022,isabel51@example.com,5.0,
"Hale, Gray and Martinez Initiative",How satisfied are you with the level of transparency in project communication?,26-06-2022,02-07-2022,stonerachel@example.org,2.0,
Martinez Inc Solution,Rate the effectiveness of the project management on a scale of 1 to 5,17-03-2024,23-03-2024,valdezzachary@example.net,3.0,
Love Inc Initiative,How would you rate the quality of work delivered by the team?,11-09-2022,17-09-2022,htaylor@example.org,4.0,
Ford-Gibson Project,Were the project risks effectively managed? Please rate from 1 to 5,25-12-2022,31-12-2022,terryjon@example.org,1.0,
Wright PLC Solution,Rate the level of stakeholder engagement on a scale of 1 to 5,29-10-2023,04-11-2023,john99@example.org,4.0,Good
"Johnson, Pierce and Davis Project",Rate the level of stakeholder engagement on a scale of 1 to 5,02-10-2022,08-10-2022,nwest@example.com,4.0,Excellent
"Hall, Copeland and Fuller Solution",Were the project risks effectively managed? Please rate from 1 to 5,26-03-2023,01-04-2023,lindsay66@example.com,,
