userEmail,projectSelected,dateStart,dateEnd,taskSelected,commentAdded,d0,d1,d2,d3,d4,d5,d6,activityName
crystalclark@example.net,"Smith, Richard and Arroyo Project",23-04-2023,29-04-2023,,,0.0,11.0,,9.0,5.0,9.0,1.0,BAU Activity
amy96@example.com,"Johnson, Williams and Stanley Solution",07-05-2023,13-05-2023,,,,10.0,2.0,9.0,,,,Sales Activity
tiffany19@example.org,"Silva, Wright and Schmidt Initiative",29-10-2023,04-11-2023,,,,,,6.0,,4.0,1.0,BAU Activity
westann@example.org,Martinez Inc Solution,17-12-2023,23-12-2023,,,1.0,,4.0,3.0,4.0,6.0,11.0,Sales Activity
hayesheather@example.com,Vasquez PLC Initiative,29-10-2023,04-11-2023,,Eager to collaborate with the team,8.0,5.0,12.0,4.0,4.0,6.0,,BAU Activity
jacob35@example.com,"Adams, Stewart and Thompson Initiative",29-01-2023,04-02-2023,,,0.0,12.0,,,,6.0,12.0,BAU Activity
jeffreycampos@example.com,Davis-Sullivan Project,19-03-2023,25-03-2023,,Excited to get started!,3.0,5.0,,5.0,4.0,5.0,1.0,BAU Activity
podom@example.com,Pierce and Sons Solution,03-12-2023,09-12-2023,,Feeling motivated,,0.0,4.0,4.0,9.0,3.0,,BAU Activity
fosterkevin@example.com,Pierce and Sons Solution,19-06-2022,25-06-2022,,Ready to dive in,,,0.0,4.0,10.0,,1.0,BAU Activity
hrobinson@example.org,"Hall, Copeland and Fuller Solution",18-02-2024,24-02-2024,,Excited to get started!,6.0,,9.0,9.0,5.0,5.0,1.0,BAU Activity
samantha27@example.net,Rodriguez-Fletcher Solution,31-07-2022,06-08-2022,,,10.0,5.0,5.0,,4.0,,,Sales Activity
cole93@example.org,"Smith, Richard and Arroyo Project",17-07-2022,23-07-2022,,Looking forward to the challenge,,6.0,6.0,,6.0,4.0,,BAU Activity
jacqueline44@example.org,"Monroe, Campbell and Mack Initiative",25-09-2022,01-10-2022,,Excited to get started!,,,10.0,4.0,11.0,,0.0,BAU Activity
ericacherry@example.org,Roberts Ltd Initiative,22-10-2023,28-10-2023,,,,4.0,4.0,12.0,6.0,4.0,10.0,BAU Activity
ericharper@example.com,"Rice, Jones and Harris Initiative",25-02-2024,02-03-2024,,,1.0,,10.0,,4.0,4.0,,Sales Activity
asmith@example.org,"Silva, Wright and Schmidt Initiative",15-10-2023,21-10-2023,,,,4.0,6.0,,6.0,4.0,3.0,Sales Activity
bennettshawn@example.org,Bailey-Jimenez Solution,10-12-2023,16-12-2023,,Looking forward to the challenge,,,4.0,5.0,4.0,,1.0,BAU Activity
nathan45@example.com,Shaffer-Donovan Initiative,04-06-2023,10-06-2023,,,,0.0,,0.0,4.0,,3.0,Sales Activity
ryansara@example.org,Lewis PLC Project,26-03-2023,01-04-2023,,,,1.0,3.0,,0.0,6.0,,Sales Activity
wchapman@example.com,Roberts Ltd Initiative,17-07-2022,23-07-2022,,Looking forward to the challenge,2.0,,4.0,4.0,0.0,0.0,1.0,Sales Activity
lturner@example.org,Warren-Ingram Initiative,17-12-2023,23-12-2023,,,,,,5.0,5.0,,2.0,BAU Activity
pmeyer@example.org,Bell-Henderson Project,09-10-2022,15-10-2022,,,1.0,,4.0,5.0,12.0,8.0,2.0,Sales Activity
coxjennifer@example.org,Sanchez Inc Initiative,23-07-2023,29-07-2023,,Ready to dive in,,,6.0,9.0,2.0,0.0,,Sales Activity
suefrost@example.org,Wright PLC Solution,24-12-2023,30-12-2023,,Excited to get started!,2.0,5.0,6.0,6.0,,,0.0,Sales Activity
jdavis@example.net,Knox-Pope Initiative,06-11-2022,12-11-2022,,,8.0,5.0,0.0,5.0,6.0,,,BAU Activity
andreaholmes@example.net,Boyer Inc Solution,07-08-2022,13-08-2022,,,,6.0,5.0,,6.0,5.0,0.0,Sales Activity
oparker@example.net,"Hall, Copeland and Fuller Solution",13-08-2023,19-08-2023,,Feeling motivated,0.0,,4.0,,,,1.0,BAU Activity
john24@example.org,Morgan Inc Project,19-11-2023,25-11-2023,,Feeling motivated,9.0,,,6.0,4.0,,,BAU Activity
robertsjacob@example.net,Pierce and Sons Solution,07-05-2023,13-05-2023,,Hopeful for a successful outcome,2.0,4.0,6.0,2.0,,,0.0,BAU Activity
vangadam@example.net,Davis-Sullivan Project,16-10-2022,22-10-2022,,,5.0,12.0,,5.0,11.0,,6.0,BAU Activity
wvazquez@example.org,Pierce and Sons Solution,29-01-2023,04-02-2023,,,4.0,,6.0,4.0,10.0,6.0,1.0,Sales Activity
andreaaustin@example.net,Wright PLC Solution,31-03-2024,06-04-2024,,Looking forward to the challenge,,2.0,,11.0,,0.0,6.0,Sales Activity
robert14@example.net,Yoder Inc Initiative,02-10-2022,08-10-2022,,Ready to dive in,3.0,,7.0,,,5.0,,BAU Activity
hansoncharles@example.net,Hale-Aguilar Solution,10-04-2022,16-04-2022,,Excited to get started!,5.0,5.0,,4.0,,6.0,,BAU Activity
patrickthomas@example.org,Harrison LLC Solution,25-09-2022,01-10-2022,,,1.0,4.0,5.0,4.0,,,1.0,Sales Activity
robinmontoya@example.net,Wright PLC Solution,31-07-2022,06-08-2022,,Can't wait to see the end result,4.0,0.0,5.0,9.0,,6.0,,Sales Activity
robert59@example.net,Wright PLC Solution,28-08-2022,03-09-2022,,Excited to get started!,9.0,5.0,6.0,,,,,Sales Activity
carpenterjason@example.com,Boyer Inc Solution,14-05-2023,20-05-2023,,,9.0,8.0,12.0,3.0,4.0,6.0,2.0,BAU Activity
antonioleonard@example.net,Lam-Garrison Initiative,21-01-2024,27-01-2024,,Eager to collaborate with the team,2.0,,12.0,6.0,0.0,3.0,2.0,BAU Activity
norriscolleen@example.org,"Johnson, Williams and Stanley Solution",29-05-2022,04-06-2022,,,0.0,,6.0,6.0,12.0,5.0,3.0,Sales Activity
berrysteven@example.net,"Rice, Jones and Harris Initiative",29-10-2023,04-11-2023,,Feeling optimistic about this project,0.0,2.0,,4.0,9.0,0.0,5.0,BAU Activity
michaelhubbard@example.net,Nguyen-Cox Initiative,07-01-2024,13-01-2024,,,11.0,10.0,5.0,4.0,6.0,4.0,,BAU Activity
mitchellbrad@example.com,Sanchez Inc Initiative,15-05-2022,21-05-2022,,Ready to dive in,5.0,6.0,8.0,6.0,,9.0,2.0,Sales Activity
davidcurtis@example.net,Ford-Gibson Project,02-04-2023,08-04-2023,,,9.0,7.0,4.0,5.0,5.0,2.0,,Sales Activity
eric12@example.net,Roberts Ltd Initiative,07-08-2022,13-08-2022,,,1.0,6.0,11.0,7.0,,5.0,2.0,BAU Activity
gbrown@example.com,Shaw-Lara Solution,25-09-2022,01-10-2022,,,,,5.0,10.0,,,2.0,BAU Activity
erika37@example.org,"Johnson, Pierce and Davis Project",06-11-2022,12-11-2022,,,3.0,0.0,5.0,6.0,5.0,6.0,,Sales Activity
richard83@example.org,"Smith, Richard and Arroyo Project",06-08-2023,12-08-2023,,,7.0,,,4.0,8.0,6.0,,Sales Activity
williamskimberly@example.org,Rodriguez-Fletcher Solution,10-12-2023,16-12-2023,,Can't wait to see the end result,,4.0,6.0,4.0,4.0,,,Sales Activity
bchavez@example.net,Bell-Henderson Project,09-07-2023,15-07-2023,,Can't wait to see the end result,0.0,4.0,4.0,,11.0,,,Sales Activity
steven21@example.org,"Lam, Fisher and Abbott Project",11-09-2022,17-09-2022,,,1.0,,4.0,5.0,,6.0,1.0,Sales Activity
elizabeth06@example.com,Martinez Inc Solution,15-10-2023,21-10-2023,,Eager to collaborate with the team,0.0,,,,,10.0,1.0,Sales Activity
katie13@example.net,"Hall, Copeland and Fuller Solution",17-09-2023,23-09-2023,,Ready to dive in,0.0,2.0,,,3.0,7.0,0.0,BAU Activity
susan10@example.org,Boyer Inc Solution,24-07-2022,30-07-2022,,,6.0,,4.0,,10.0,,,Sales Activity
marypeters@example.com,"Hale, Gray and Martinez Initiative",09-07-2023,15-07-2023,,Feeling optimistic about this project,0.0,2.0,,,4.0,6.0,,BAU Activity
jennifer37@example.com,Lucas Inc Initiative,22-05-2022,28-05-2022,,,3.0,,4.0,,6.0,5.0,1.0,Sales Activity
broach@example.com,Harrison LLC Solution,02-04-2023,08-04-2023,,,0.0,4.0,5.0,,,,,BAU Activity
robinsonkellie@example.org,Weaver Group Solution,13-11-2022,19-11-2022,,,2.0,8.0,,0.0,4.0,6.0,,BAU Activity
jonesyvette@example.org,Thomas Inc Project,04-09-2022,10-09-2022,,,0.0,,,4.0,6.0,11.0,,Sales Activity
timothy71@example.net,Carson-Clayton Initiative,17-07-2022,23-07-2022,,Feeling motivated,12.0,4.0,4.0,4.0,4.0,4.0,8.0,BAU Activity
robertscaroline@example.net,Miller Group Project,05-06-2022,11-06-2022,,Can't wait to see the end result,0.0,5.0,6.0,5.0,3.0,,,Sales Activity
qyoung@example.com,Lyons-Harrison Initiative,15-10-2023,21-10-2023,,,12.0,8.0,4.0,4.0,3.0,4.0,2.0,Sales Activity
mnorton@example.net,Walker-Evans Initiative,26-06-2022,02-07-2022,,,,7.0,5.0,,5.0,4.0,2.0,BAU Activity
nataliewatson@example.net,Lucas Inc Initiative,31-07-2022,06-08-2022,,,,8.0,7.0,3.0,2.0,4.0,1.0,BAU Activity
sdavis@example.net,Warren-Ingram Initiative,09-10-2022,15-10-2022,,,,5.0,5.0,,,7.0,12.0,BAU Activity
mary33@example.com,Davis-Sullivan Project,05-06-2022,11-06-2022,,Eager to collaborate with the team,1.0,,,9.0,5.0,,6.0,Sales Activity
navarrostephanie@example.net,Clark Group Initiative,03-07-2022,09-07-2022,,,,3.0,6.0,,,6.0,,Sales Activity
xchung@example.net,Clark Group Initiative,24-07-2022,30-07-2022,,,10.0,10.0,5.0,6.0,4.0,5.0,,BAU Activity
joannekeller@example.com,Lucas Inc Initiative,13-11-2022,19-11-2022,,,1.0,,,4.0,4.0,5.0,,Sales Activity
marypeters@example.com,Clark Group Initiative,30-10-2022,05-11-2022,,Can't wait to see the end result,1.0,5.0,,5.0,5.0,,12.0,Sales Activity
dwright@example.org,Harris-Randolph Initiative,24-04-2022,30-04-2022,,Can't wait to see the end result,0.0,6.0,10.0,6.0,4.0,5.0,,BAU Activity
melaniestuart@example.com,"Lam, Fisher and Abbott Project",04-09-2022,10-09-2022,,Ready to dive in,,,5.0,3.0,,4.0,2.0,Sales Activity
jessicadrake@example.org,"Lopez, Ramirez and Harris Initiative",31-03-2024,06-04-2024,,,11.0,,6.0,,4.0,6.0,3.0,BAU Activity
ibarton@example.org,Martinez Inc Solution,17-04-2022,23-04-2022,,,3.0,4.0,2.0,,,5.0,2.0,BAU Activity
smithjon@example.net,Shaw-Lara Solution,17-12-2023,23-12-2023,,Eager to collaborate with the team,0.0,,,1.0,4.0,4.0,3.0,Sales Activity
clarkandrea@example.com,Pierce and Sons Solution,09-10-2022,15-10-2022,,,,6.0,,,12.0,,4.0,Sales Activity
westjoshua@example.org,Lewis PLC Project,06-08-2023,12-08-2023,,Feeling motivated,2.0,,6.0,9.0,,5.0,,Sales Activity
bradwilliams@example.net,Shaffer-Donovan Initiative,20-11-2022,26-11-2022,,,0.0,5.0,,4.0,5.0,8.0,0.0,BAU Activity
halltaylor@example.net,"Adams, Stewart and Thompson Initiative",24-09-2023,30-09-2023,,Eager to collaborate with the team,1.0,4.0,,,,,,Sales Activity
vasquezkrista@example.com,Davis-Sullivan Project,08-05-2022,14-05-2022,,,3.0,,,10.0,6.0,3.0,,BAU Activity
conniesmith@example.net,"Lam, Fisher and Abbott Project",29-10-2023,04-11-2023,,Eager to collaborate with the team,,0.0,1.0,8.0,0.0,6.0,6.0,BAU Activity
amberponce@example.com,Lyons-Harrison Initiative,31-03-2024,06-04-2024,,Can't wait to see the end result,1.0,2.0,,2.0,,,8.0,Sales Activity
frankbrandon@example.net,Harrison LLC Solution,19-02-2023,25-02-2023,,,1.0,5.0,0.0,6.0,6.0,10.0,,Sales Activity
kimnielsen@example.net,Martinez Inc Solution,28-05-2023,03-06-2023,,Can't wait to see the end result,1.0,4.0,6.0,,,4.0,2.0,BAU Activity
joshua08@example.net,"Hall, Copeland and Fuller Solution",18-02-2024,24-02-2024,,,,4.0,8.0,4.0,3.0,,1.0,BAU Activity
benjamin70@example.org,White-Lozano Project,29-01-2023,04-02-2023,,,0.0,0.0,5.0,4.0,,4.0,7.0,Sales Activity
andrewthomas@example.org,"Johnson, Pierce and Davis Project",15-01-2023,21-01-2023,,,2.0,2.0,3.0,8.0,7.0,4.0,0.0,Sales Activity
richardsdenise@example.net,Weaver Group Solution,25-06-2023,01-07-2023,,Looking forward to the challenge,7.0,,3.0,1.0,,10.0,0.0,Sales Activity
armstrongdavid@example.org,Davis-Sullivan Project,10-03-2024,16-03-2024,,,,6.0,0.0,4.0,4.0,,7.0,Sales Activity
harrismatthew@example.com,"Lopez, Ramirez and Harris Initiative",07-04-2024,13-04-2024,,Excited to get started!,1.0,1.0,2.0,1.0,,9.0,0.0,BAU Activity
scott90@example.net,Weaver Group Solution,27-11-2022,03-12-2022,,Can't wait to see the end result,2.0,7.0,,5.0,,,0.0,Sales Activity
richard51@example.org,"Adams, Stewart and Thompson Initiative",08-10-2023,14-10-2023,,Ready to dive in,2.0,,4.0,,,0.0,,BAU Activity
toddlane@example.com,"Adams, Stewart and Thompson Initiative",07-05-2023,13-05-2023,,,1.0,4.0,,5.0,,1.0,3.0,BAU Activity
torresjonathan@example.com,"Hale, Gray and Martinez Initiative",26-06-2022,02-07-2022,,Feeling motivated,,,4.0,,4.0,5.0,1.0,Sales Activity
simmonsmatthew@example.org,Sanchez Inc Initiative,21-05-2023,27-05-2023,,,7.0,,4.0,,6.0,6.0,1.0,BAU Activity
anthony35@example.net,Davis-Sullivan Project,31-12-2023,06-01-2024,,,11.0,7.0,6.0,,6.0,0.0,3.0,BAU Activity
ppena@example.com,Pierce and Sons Solution,23-07-2023,29-07-2023,,Feeling optimistic about this project,0.0,3.0,,5.0,0.0,9.0,1.0,Sales Activity
dustinrodriguez@example.com,Lam-Garrison Initiative,22-10-2023,28-10-2023,,,1.0,,,,,8.0,11.0,Sales Activity
sreyes@example.org,"Adams, Stewart and Thompson Initiative",12-11-2023,18-11-2023,,,2.0,,11.0,,,,1.0,BAU Activity
vfuller@example.org,Harris-Randolph Initiative,06-11-2022,12-11-2022,,,,5.0,9.0,4.0,,11.0,0.0,BAU Activity
warrenmorris@example.com,Lam-Garrison Initiative,11-02-2024,17-02-2024,,,,,4.0,12.0,4.0,,2.0,BAU Activity
broberts@example.com,Morgan Inc Project,10-07-2022,16-07-2022,,Feeling optimistic about this project,3.0,1.0,,5.0,1.0,12.0,2.0,BAU Activity
daniel43@example.com,"Johnson, Williams and Stanley Solution",11-06-2023,17-06-2023,,,1.0,,8.0,6.0,6.0,,12.0,Sales Activity
jamesphillips@example.org,Williams LLC Initiative,18-02-2024,24-02-2024,,,,5.0,4.0,5.0,,4.0,2.0,Sales Activity
hjohnson@example.com,Nguyen-Cox Initiative,26-06-2022,02-07-2022,,Looking forward to the challenge,3.0,5.0,,,,5.0,2.0,BAU Activity
amywilliams@example.org,Lucas Inc Initiative,14-01-2024,20-01-2024,,Feeling optimistic about this project,3.0,0.0,7.0,4.0,,5.0,0.0,BAU Activity
markcochran@example.org,Shaffer-Donovan Initiative,04-02-2024,10-02-2024,,,0.0,5.0,2.0,4.0,11.0,1.0,8.0,BAU Activity
aaron71@example.net,Lyons-Harrison Initiative,14-08-2022,20-08-2022,,,2.0,4.0,6.0,,6.0,6.0,1.0,BAU Activity
johnsoneric@example.org,"Monroe, Campbell and Mack Initiative",23-07-2023,29-07-2023,,,,,1.0,0.0,,4.0,0.0,BAU Activity
elizabethrowe@example.net,Sanchez Inc Initiative,06-11-2022,12-11-2022,,,,6.0,,6.0,5.0,,7.0,Sales Activity
muellerrachel@example.net,Rodriguez-Fletcher Solution,02-10-2022,08-10-2022,,,,,,4.0,6.0,,0.0,BAU Activity
ecarr@example.com,Thomas Inc Project,03-09-2023,09-09-2023,,,,2.0,,7.0,,,,BAU Activity
karensmith@example.net,Bell-Henderson Project,30-10-2022,05-11-2022,,Looking forward to the challenge,,,4.0,6.0,8.0,5.0,3.0,BAU Activity
robbinsheather@example.org,Weaver Group Solution,31-07-2022,06-08-2022,,,,7.0,5.0,9.0,12.0,12.0,1.0,Sales Activity
andrea31@example.com,"Smith, Richard and Arroyo Project",30-07-2023,05-08-2023,,,7.0,8.0,6.0,10.0,3.0,,2.0,BAU Activity
albert75@example.net,Martinez Inc Solution,17-04-2022,23-04-2022,,Feeling motivated,9.0,4.0,1.0,4.0,,4.0,12.0,Sales Activity
ewatkins@example.org,Rodriguez-Fletcher Solution,04-02-2024,10-02-2024,,,1.0,4.0,12.0,,4.0,4.0,12.0,Sales Activity
sean10@example.org,Lewis PLC Project,03-03-2024,09-03-2024,,,,11.0,7.0,4.0,9.0,,2.0,Sales Activity
rgibson@example.org,Rodriguez-Fletcher Solution,03-09-2023,09-09-2023,,Can't wait to see the end result,4.0,5.0,5.0,6.0,6.0,4.0,,BAU Activity
danielle70@example.org,"Smith, Richard and Arroyo Project",28-05-2023,03-06-2023,,Feeling motivated,6.0,,5.0,5.0,6.0,12.0,,BAU Activity
scott66@example.net,Bailey-Jimenez Solution,19-03-2023,25-03-2023,,Feeling optimistic about this project,0.0,5.0,,6.0,4.0,,0.0,Sales Activity
margaret63@example.net,Vasquez PLC Initiative,16-07-2023,22-07-2023,,,0.0,9.0,6.0,,1.0,,3.0,BAU Activity
ashley74@example.com,Singh Ltd Solution,13-08-2023,19-08-2023,,Can't wait to see the end result,12.0,,9.0,5.0,,,,BAU Activity
woodmichael@example.com,Williams LLC Initiative,01-10-2023,07-10-2023,,Looking forward to the challenge,1.0,,,6.0,,9.0,9.0,BAU Activity
hweaver@example.com,Clark Group Initiative,27-11-2022,03-12-2022,,,11.0,0.0,4.0,7.0,7.0,9.0,7.0,Sales Activity
hbrown@example.com,Rodriguez-Fletcher Solution,15-10-2023,21-10-2023,,,,,5.0,5.0,7.0,4.0,4.0,BAU Activity
elizabeth61@example.com,Davis-Sullivan Project,21-08-2022,27-08-2022,,Eager to collaborate with the team,5.0,,,5.0,6.0,4.0,8.0,BAU Activity
iwilson@example.net,"Monroe, Campbell and Mack Initiative",04-06-2023,10-06-2023,,Can't wait to see the end result,6.0,1.0,6.0,10.0,6.0,11.0,2.0,BAU Activity
santiagomark@example.net,"Smith, Richard and Arroyo Project",05-03-2023,11-03-2023,,Ready to dive in,1.0,4.0,,6.0,,2.0,3.0,BAU Activity
lopezheather@example.net,Weaver Group Solution,11-06-2023,17-06-2023,,,,6.0,9.0,6.0,4.0,2.0,3.0,Sales Activity
thomas26@example.org,"Johnson, Pierce and Davis Project",24-03-2024,30-03-2024,,Feeling optimistic about this project,,5.0,6.0,,,,3.0,Sales Activity
maria97@example.com,Bailey-Jimenez Solution,16-10-2022,22-10-2022,,Feeling motivated,12.0,0.0,12.0,5.0,5.0,,,Sales Activity
kbarnes@example.com,Walker-Evans Initiative,03-09-2023,09-09-2023,,Hopeful for a successful outcome,,,6.0,0.0,5.0,,1.0,Sales Activity
andrewnichols@example.net,Roberts Ltd Initiative,18-02-2024,24-02-2024,,,,8.0,,,5.0,4.0,1.0,Sales Activity
joseph96@example.org,Morgan Inc Project,17-04-2022,23-04-2022,,Ready to dive in,1.0,4.0,,2.0,8.0,8.0,,Sales Activity
henrychase@example.net,Roberts Ltd Initiative,04-12-2022,10-12-2022,,Looking forward to the challenge,1.0,,,5.0,6.0,5.0,1.0,BAU Activity
rachel66@example.com,Clark Group Initiative,09-04-2023,15-04-2023,,,3.0,4.0,,11.0,6.0,1.0,10.0,BAU Activity
ivalencia@example.com,Boyer Inc Solution,30-07-2023,05-08-2023,,Feeling optimistic about this project,3.0,3.0,0.0,0.0,4.0,,1.0,Sales Activity
thomas26@example.org,"Johnson, Pierce and Davis Project",13-11-2022,19-11-2022,,Looking forward to the challenge,3.0,,6.0,,5.0,5.0,,BAU Activity
williamfigueroa@example.com,Knox-Pope Initiative,25-02-2024,02-03-2024,,Can't wait to see the end result,12.0,,2.0,6.0,4.0,7.0,0.0,Sales Activity
vargasjacqueline@example.org,Boyer Inc Solution,26-02-2023,04-03-2023,,Feeling motivated,2.0,,,5.0,,9.0,4.0,Sales Activity
freycole@example.org,Rodriguez-Fletcher Solution,17-12-2023,23-12-2023,,,1.0,,8.0,,2.0,0.0,7.0,BAU Activity
elizabethpeterson@example.net,Vasquez PLC Initiative,09-10-2022,15-10-2022,,Ready to dive in,6.0,,5.0,,3.0,5.0,3.0,BAU Activity
rachel71@example.com,Harris-Randolph Initiative,28-05-2023,03-06-2023,,,8.0,2.0,6.0,,5.0,,9.0,BAU Activity
pcampos@example.org,Walker-Evans Initiative,09-04-2023,15-04-2023,,Eager to collaborate with the team,,9.0,12.0,4.0,,2.0,,Sales Activity
kenneth21@example.org,Warren-Ingram Initiative,13-11-2022,19-11-2022,,Excited to get started!,6.0,,4.0,9.0,3.0,4.0,3.0,BAU Activity
farrellpaul@example.org,"Adams, Stewart and Thompson Initiative",28-01-2024,03-02-2024,,,0.0,,4.0,4.0,,5.0,6.0,BAU Activity
morrisbrandon@example.org,Pierce and Sons Solution,25-06-2023,01-07-2023,,,12.0,,2.0,,7.0,4.0,0.0,BAU Activity
wernerjeffrey@example.org,Bailey-Jimenez Solution,18-06-2023,24-06-2023,,,,4.0,,2.0,6.0,12.0,3.0,BAU Activity
heidi84@example.com,Bailey-Jimenez Solution,19-06-2022,25-06-2022,,Hopeful for a successful outcome,,,,1.0,9.0,,2.0,BAU Activity
kskinner@example.com,Clark Group Initiative,28-05-2023,03-06-2023,,,1.0,8.0,,1.0,4.0,12.0,3.0,BAU Activity
malik93@example.com,Nolan-Clark Initiative,07-05-2023,13-05-2023,,,,,7.0,8.0,,6.0,10.0,Sales Activity
jennifernunez@example.com,Hale-Aguilar Solution,10-04-2022,16-04-2022,,,,0.0,5.0,,,4.0,0.0,Sales Activity
patrick21@example.net,Carson-Clayton Initiative,12-02-2023,18-02-2023,,,7.0,,5.0,6.0,,,,Sales Activity
mford@example.com,Carson-Clayton Initiative,31-03-2024,06-04-2024,,,4.0,4.0,4.0,,,10.0,8.0,BAU Activity
bellallen@example.net,Sanchez Inc Initiative,06-11-2022,12-11-2022,,,0.0,,4.0,0.0,2.0,,,BAU Activity
penningtonjohn@example.net,Rodriguez-Fletcher Solution,24-07-2022,30-07-2022,,,,4.0,4.0,4.0,9.0,4.0,1.0,BAU Activity
walkerjason@example.com,"Smith, Richard and Arroyo Project",12-06-2022,18-06-2022,,Excited to get started!,,6.0,3.0,5.0,1.0,,9.0,BAU Activity
tschneider@example.org,Boyer Inc Solution,15-01-2023,21-01-2023,,,12.0,,0.0,5.0,8.0,3.0,,Sales Activity
sevans@example.org,White-Lozano Project,12-06-2022,18-06-2022,,,,6.0,4.0,,,,1.0,Sales Activity
greenbenjamin@example.com,Wright PLC Solution,04-02-2024,10-02-2024,,Ready to dive in,0.0,9.0,,,6.0,7.0,0.0,BAU Activity
pricepaula@example.org,Carson-Clayton Initiative,15-01-2023,21-01-2023,,Can't wait to see the end result,3.0,4.0,1.0,,3.0,,1.0,Sales Activity
claytonmatthew@example.com,"Hall, Copeland and Fuller Solution",21-05-2023,27-05-2023,,Can't wait to see the end result,0.0,,7.0,2.0,12.0,2.0,0.0,Sales Activity
raymond28@example.net,Singh Ltd Solution,06-08-2023,12-08-2023,,,,11.0,,,1.0,11.0,5.0,Sales Activity
churchpaul@example.net,"Lopez, Ramirez and Harris Initiative",24-04-2022,30-04-2022,,,11.0,,,4.0,8.0,6.0,3.0,BAU Activity
hickmanmiranda@example.com,Knox-Pope Initiative,05-02-2023,11-02-2023,,Feeling motivated,3.0,,9.0,5.0,4.0,,0.0,BAU Activity
garciatricia@example.net,Shaw-Lara Solution,01-10-2023,07-10-2023,,,1.0,4.0,4.0,6.0,6.0,3.0,0.0,Sales Activity
xwebb@example.net,Nolan-Clark Initiative,17-09-2023,23-09-2023,,,1.0,,5.0,,,,,Sales Activity
vincentknight@example.org,Clark Group Initiative,19-03-2023,25-03-2023,,,,5.0,6.0,4.0,5.0,0.0,,BAU Activity
williamwilliams@example.com,Singh Ltd Solution,27-08-2023,02-09-2023,,Excited to get started!,,2.0,,3.0,9.0,11.0,,Sales Activity
omclaughlin@example.com,Hale-Aguilar Solution,09-10-2022,15-10-2022,,Hopeful for a successful outcome,,4.0,6.0,,,6.0,1.0,Sales Activity
danacook@example.net,Davis-Sullivan Project,01-10-2023,07-10-2023,,Can't wait to see the end result,0.0,,,4.0,,6.0,5.0,Sales Activity
michael63@example.com,Martinez Inc Solution,29-05-2022,04-06-2022,,Feeling motivated,0.0,9.0,4.0,5.0,6.0,5.0,5.0,BAU Activity
annettedavis@example.net,"Rice, Jones and Harris Initiative",17-12-2023,23-12-2023,,,5.0,8.0,,,7.0,,,Sales Activity
