userEmail,projectSelected,dateStart,dateEnd,taskSelected,commentAdded,d0,d1,d2,d3,d4,d5,d6,activityName
ngarcia@example.com,"Stevens, Andrews and Medina Initiative",05-02-2023,11-02-2023,,Feeling optimistic about this project,,,1.0,4.0,4.0,,,BAU Activity
rebeccacarr@example.org,"Jackson, Nguyen and Crawford Project",01-10-2023,07-10-2023,,Excited to get started!,0.0,,10.0,6.0,4.0,7.0,12.0,Sales Activity
melindamiller@example.com,Patrick Inc Initiative,21-05-2023,27-05-2023,,Can't wait to see the end result,9.0,,3.0,8.0,5.0,6.0,,BAU Activity
kchambers@example.org,"Brown, Sims and Davis Initiative",26-11-2023,02-12-2023,,Eager to collaborate with the team,1.0,7.0,,6.0,,,,Sales Activity
johnny94@example.com,Ford LLC Solution,06-08-2023,12-08-2023,,Feeling optimistic about this project,2.0,,,,4.0,5.0,1.0,BAU Activity
gomezelizabeth@example.net,"Stevens, Andrews and Medina Initiative",01-01-2023,07-01-2023,,Can't wait to see the end result,,,4.0,4.0,0.0,9.0,0.0,Sales Activity
callen@example.org,"Brown, Vasquez and Bush Initiative",16-07-2023,22-07-2023,,Eager to collaborate with the team,1.0,,,4.0,6.0,,1.0,Sales Activity
carlarobinson@example.net,"Turner, Evans and Reed Solution",28-01-2024,03-02-2024,,,,4.0,9.0,6.0,4.0,,9.0,BAU Activity
philipaguirre@example.net,Stevenson-Johnson Project,04-09-2022,10-09-2022,,,1.0,,,12.0,5.0,4.0,1.0,BAU Activity
ngarcia@example.org,Ward-Berg Initiative,17-03-2024,23-03-2024,,Looking forward to the challenge,4.0,6.0,,7.0,6.0,5.0,,BAU Activity
joseph52@example.net,Li-Schwartz Project,08-10-2023,14-10-2023,,Excited to get started!,1.0,,5.0,12.0,10.0,,3.0,Sales Activity
thompsonlawrence@example.com,Schneider and Sons Solution,08-01-2023,14-01-2023,,Ready to dive in,,8.0,5.0,12.0,5.0,6.0,,BAU Activity
wilsonallen@example.com,"Adams, Mcgee and Baker Initiative",03-12-2023,09-12-2023,,Can't wait to see the end result,0.0,5.0,,,,5.0,,BAU Activity
youngshelby@example.com,Greene Inc Initiative,14-08-2022,20-08-2022,,,1.0,4.0,4.0,6.0,5.0,4.0,3.0,BAU Activity
williamsbradley@example.org,"Brown, Sims and Davis Initiative",05-02-2023,11-02-2023,,Eager to collaborate with the team,,,,5.0,5.0,6.0,1.0,Sales Activity
awalsh@example.net,Moreno-Jackson Project,20-08-2023,26-08-2023,,Hopeful for a successful outcome,2.0,11.0,8.0,3.0,6.0,4.0,9.0,Sales Activity
pinedaterri@example.net,Hurley Group Project,14-05-2023,20-05-2023,,Ready to dive in,0.0,,9.0,,,,,BAU Activity
millertaylor@example.org,Love Ltd Solution,23-07-2023,29-07-2023,,Excited to get started!,2.0,,4.0,0.0,1.0,4.0,3.0,Sales Activity
tonyaschmidt@example.net,Scott and Sons Project,07-05-2023,13-05-2023,,,0.0,5.0,2.0,,0.0,2.0,10.0,Sales Activity
jordanoscar@example.com,"Diaz, Lam and Maldonado Project",06-11-2022,12-11-2022,,Can't wait to see the end result,,6.0,6.0,5.0,,4.0,5.0,BAU Activity
emilyluna@example.net,"Turner, Evans and Reed Solution",15-01-2023,21-01-2023,,Hopeful for a successful outcome,3.0,,4.0,,,,1.0,BAU Activity
lisa50@example.com,"Chase, Molina and Mccoy Initiative",09-04-2023,15-04-2023,,Can't wait to see the end result,,6.0,4.0,3.0,3.0,,,Sales Activity
qnelson@example.org,Scott and Sons Project,26-02-2023,04-03-2023,,,0.0,3.0,5.0,7.0,4.0,3.0,0.0,BAU Activity
evansemily@example.net,Abbott-Carter Solution,05-02-2023,11-02-2023,,,0.0,6.0,6.0,5.0,5.0,,1.0,BAU Activity
cooksabrina@example.org,Cabrera Inc Project,01-01-2023,07-01-2023,,Looking forward to the challenge,0.0,7.0,,,9.0,1.0,0.0,Sales Activity
kevincarpenter@example.org,"Chase, Molina and Mccoy Initiative",25-06-2023,01-07-2023,,Eager to collaborate with the team,,5.0,12.0,,4.0,4.0,10.0,Sales Activity
kara61@example.net,"Austin, Barnes and Marquez Initiative",01-01-2023,07-01-2023,,Eager to collaborate with the team,1.0,5.0,12.0,9.0,0.0,11.0,,Sales Activity
wholt@example.com,Patrick Inc Initiative,25-09-2022,01-10-2022,,Can't wait to see the end result,,,,4.0,6.0,7.0,0.0,Sales Activity
brittney88@example.org,Simpson-Caldwell Project,17-09-2023,23-09-2023,,Looking forward to the challenge,,4.0,4.0,,4.0,3.0,,BAU Activity
aaron84@example.net,"Sanchez, Jackson and Scott Initiative",08-01-2023,14-01-2023,,,2.0,6.0,9.0,6.0,6.0,,1.0,BAU Activity
averyjennifer@example.net,Patrick Inc Initiative,11-02-2024,17-02-2024,,Ready to dive in,,,8.0,,,,,BAU Activity
erobinson@example.net,"Sanchez, Jackson and Scott Initiative",13-11-2022,19-11-2022,,Feeling motivated,3.0,5.0,5.0,4.0,3.0,,0.0,Sales Activity
jason17@example.com,Herrera Ltd Initiative,16-10-2022,22-10-2022,,Eager to collaborate with the team,1.0,5.0,,9.0,4.0,5.0,4.0,BAU Activity
jenniferkrause@example.com,"Jimenez, Mendez and Lewis Initiative",06-08-2023,12-08-2023,,,2.0,3.0,,4.0,8.0,4.0,2.0,BAU Activity
madison83@example.net,Serrano and Sons Solution,16-10-2022,22-10-2022,,,,2.0,,6.0,,9.0,1.0,Sales Activity
thomas78@example.net,Stevenson-Johnson Project,11-09-2022,17-09-2022,,Can't wait to see the end result,2.0,,,0.0,3.0,4.0,9.0,BAU Activity
dcampbell@example.com,"Brown, Sims and Davis Initiative",05-02-2023,11-02-2023,,,3.0,6.0,5.0,6.0,,4.0,,BAU Activity
gutierrezwilliam@example.net,Serrano and Sons Solution,10-07-2022,16-07-2022,,Ready to dive in,1.0,5.0,4.0,4.0,4.0,5.0,2.0,Sales Activity
robertconrad@example.org,Love Ltd Solution,31-03-2024,06-04-2024,,,7.0,10.0,10.0,,,7.0,,Sales Activity
brownthomas@example.org,Greene Inc Initiative,20-08-2023,26-08-2023,,Excited to get started!,1.0,5.0,12.0,9.0,0.0,3.0,0.0,BAU Activity
shawn81@example.net,Li-Schwartz Project,18-02-2024,24-02-2024,,,0.0,1.0,,1.0,6.0,,5.0,BAU Activity
lthomas@example.com,Stevenson-Johnson Project,09-07-2023,15-07-2023,,Feeling optimistic about this project,12.0,4.0,0.0,5.0,3.0,11.0,2.0,BAU Activity
bmadden@example.net,"Stevens, Andrews and Medina Initiative",16-07-2023,22-07-2023,,,,,5.0,12.0,11.0,,,BAU Activity
pflynn@example.com,Austin-Clark Project,11-06-2023,17-06-2023,,,2.0,,4.0,4.0,6.0,,,BAU Activity
johnkennedy@example.com,"Brown, Sims and Davis Initiative",12-06-2022,18-06-2022,,,0.0,6.0,11.0,,,,,BAU Activity
whitedaryl@example.net,"Chase, Molina and Mccoy Initiative",10-09-2023,16-09-2023,,,7.0,6.0,9.0,,,,8.0,Sales Activity
cantumelanie@example.org,Martin-Ball Project,21-01-2024,27-01-2024,,,1.0,10.0,,,5.0,6.0,3.0,BAU Activity
isaac50@example.com,"Jackson, Nguyen and Crawford Project",21-01-2024,27-01-2024,,Excited to get started!,,4.0,8.0,11.0,3.0,4.0,2.0,Sales Activity
kathryn48@example.net,"Turner, Evans and Reed Solution",15-10-2023,21-10-2023,,Eager to collaborate with the team,2.0,,7.0,,4.0,,,BAU Activity
christina06@example.net,"Jimenez, Mendez and Lewis Initiative",29-01-2023,04-02-2023,,,,3.0,9.0,4.0,6.0,6.0,0.0,Sales Activity
bobbybrown@example.net,Gonzalez-Becker Initiative,10-03-2024,16-03-2024,,Eager to collaborate with the team,1.0,5.0,12.0,9.0,2.0,2.0,,Sales Activity
kevinscott@example.com,Dalton Group Solution,30-07-2023,05-08-2023,,,2.0,10.0,4.0,,7.0,,,BAU Activity
vhorton@example.com,Abbott-Carter Solution,12-02-2023,18-02-2023,,Can't wait to see the end result,,5.0,5.0,5.0,5.0,6.0,3.0,Sales Activity
sanchezbrian@example.org,Butler-Acosta Solution,21-08-2022,27-08-2022,,,12.0,5.0,5.0,6.0,,12.0,,Sales Activity
davisluis@example.org,"Turner, Evans and Reed Solution",27-08-2023,02-09-2023,,Can't wait to see the end result,,5.0,5.0,,9.0,,,BAU Activity
laura95@example.com,Serrano and Sons Solution,14-08-2022,20-08-2022,,Can't wait to see the end result,0.0,4.0,2.0,8.0,,3.0,2.0,Sales Activity
egarcia@example.com,Cabrera Inc Project,24-03-2024,30-03-2024,,,0.0,,,,7.0,4.0,,BAU Activity
adamseddie@example.net,Harris-Nicholson Project,26-06-2022,02-07-2022,,,11.0,,6.0,11.0,8.0,4.0,5.0,BAU Activity
dianegalvan@example.org,"Mckinney, Ross and Reed Solution",22-05-2022,28-05-2022,,Eager to collaborate with the team,,0.0,7.0,4.0,5.0,4.0,1.0,Sales Activity
hunterdavid@example.com,Brown Inc Initiative,27-11-2022,03-12-2022,,Eager to collaborate with the team,1.0,,7.0,,4.0,1.0,,BAU Activity
andrea65@example.com,Brown Inc Initiative,17-12-2023,23-12-2023,,Feeling motivated,0.0,5.0,,,5.0,1.0,6.0,BAU Activity
ronald40@example.com,Lindsey Inc Initiative,04-02-2024,10-02-2024,,Eager to collaborate with the team,1.0,11.0,6.0,5.0,11.0,6.0,6.0,BAU Activity
austinwilliams@example.org,"Jimenez, Mendez and Lewis Initiative",13-11-2022,19-11-2022,,,12.0,5.0,4.0,,6.0,5.0,2.0,BAU Activity
christina43@example.org,"Chase, Molina and Mccoy Initiative",27-08-2023,02-09-2023,,,4.0,0.0,9.0,6.0,4.0,10.0,2.0,Sales Activity
hhartman@example.org,Ward-Berg Initiative,30-07-2023,05-08-2023,,,,,10.0,4.0,5.0,4.0,0.0,Sales Activity
matthewthomas@example.org,"Lang, Allen and Hayes Solution",09-10-2022,15-10-2022,,Ready to dive in,3.0,5.0,12.0,10.0,2.0,12.0,1.0,BAU Activity
okim@example.org,"Stevens, Andrews and Medina Initiative",07-01-2024,13-01-2024,,,,9.0,6.0,8.0,5.0,,,BAU Activity
michaelthompson@example.org,"Adams, Mcgee and Baker Initiative",21-01-2024,27-01-2024,,,4.0,4.0,11.0,4.0,,6.0,2.0,BAU Activity
amatthews@example.net,"Mckinney, Ross and Reed Solution",08-05-2022,14-05-2022,,,10.0,4.0,6.0,,0.0,5.0,3.0,Sales Activity
jasonkeller@example.net,Castillo PLC Solution,05-11-2023,11-11-2023,,,1.0,5.0,7.0,,4.0,6.0,0.0,Sales Activity
idominguez@example.org,Schneider and Sons Solution,23-04-2023,29-04-2023,,,0.0,1.0,6.0,,,12.0,,Sales Activity
gregory11@example.net,Serrano and Sons Solution,28-08-2022,03-09-2022,,,,6.0,,,9.0,5.0,12.0,Sales Activity
ethanjohnson@example.com,Herrera Ltd Initiative,09-04-2023,15-04-2023,,,,,,,,2.0,,Sales Activity
davidwoods@example.org,"Turner, Evans and Reed Solution",31-03-2024,06-04-2024,,,,6.0,,4.0,,,,Sales Activity
medinakathryn@example.org,Moreno-Jackson Project,29-10-2023,04-11-2023,,Excited to get started!,,5.0,5.0,5.0,,4.0,8.0,Sales Activity
nancycordova@example.net,"Jimenez, Mendez and Lewis Initiative",08-05-2022,14-05-2022,,,1.0,,,5.0,4.0,9.0,,Sales Activity
nicholascain@example.com,Ford LLC Solution,13-11-2022,19-11-2022,,Feeling optimistic about this project,1.0,5.0,4.0,6.0,8.0,4.0,,BAU Activity
eberry@example.com,Cabrera Inc Project,08-10-2023,14-10-2023,,Feeling motivated,,,12.0,,4.0,5.0,,Sales Activity
hurleymichael@example.org,"Jackson, Nguyen and Crawford Project",29-01-2023,04-02-2023,,,1.0,4.0,4.0,,0.0,,0.0,BAU Activity
sarahanderson@example.net,Taylor LLC Project,19-11-2023,25-11-2023,,Hopeful for a successful outcome,5.0,,,7.0,5.0,4.0,4.0,BAU Activity
aserrano@example.com,Snow-Lee Project,06-08-2023,12-08-2023,,Feeling motivated,2.0,9.0,8.0,,4.0,3.0,0.0,Sales Activity
sanchezgordon@example.org,"Donovan, Tyler and Cabrera Solution",28-08-2022,03-09-2022,,,0.0,5.0,,4.0,,4.0,1.0,BAU Activity
aaron79@example.com,"Stevens, Andrews and Medina Initiative",29-10-2023,04-11-2023,,Excited to get started!,,4.0,,,11.0,,,BAU Activity
lauraortega@example.com,Dalton Group Solution,29-01-2023,04-02-2023,,Ready to dive in,2.0,4.0,1.0,5.0,,,,Sales Activity
richard85@example.net,Gonzalez-Becker Initiative,08-05-2022,14-05-2022,,,,5.0,6.0,,5.0,4.0,,Sales Activity
jennifereaton@example.org,Martin-Ball Project,14-05-2023,20-05-2023,,,1.0,10.0,,,5.0,,2.0,Sales Activity
grahamsheila@example.com,Li-Schwartz Project,26-03-2023,01-04-2023,,Looking forward to the challenge,,6.0,3.0,,4.0,5.0,10.0,BAU Activity
aaron42@example.com,Moreno-Jackson Project,30-10-2022,05-11-2022,,Looking forward to the challenge,0.0,,5.0,,4.0,9.0,1.0,BAU Activity
tthompson@example.com,Cabrera Inc Project,16-07-2023,22-07-2023,,Can't wait to see the end result,11.0,1.0,8.0,,12.0,,,BAU Activity
denisebenitez@example.org,"Jackson, Nguyen and Crawford Project",14-01-2024,20-01-2024,,Ready to dive in,,4.0,4.0,6.0,,8.0,0.0,BAU Activity
ronald13@example.org,Simpson-Caldwell Project,10-09-2023,16-09-2023,,Excited to get started!,3.0,3.0,4.0,3.0,4.0,4.0,1.0,BAU Activity
gallagherbernard@example.org,Martin-Ball Project,18-02-2024,24-02-2024,,Excited to get started!,8.0,5.0,4.0,12.0,6.0,6.0,,BAU Activity
durhamcathy@example.net,"Chase, Molina and Mccoy Initiative",12-03-2023,18-03-2023,,Feeling motivated,3.0,8.0,4.0,,,10.0,,Sales Activity
hmcpherson@example.net,"Adams, Mcgee and Baker Initiative",19-02-2023,25-02-2023,,,4.0,5.0,7.0,5.0,,2.0,,BAU Activity
sanchezvictor@example.org,Lopez Inc Initiative,09-04-2023,15-04-2023,,Ready to dive in,,5.0,4.0,,,,8.0,BAU Activity
xbond@example.org,Ford LLC Solution,22-05-2022,28-05-2022,,Eager to collaborate with the team,1.0,7.0,4.0,,4.0,4.0,,BAU Activity
james17@example.com,Schneider and Sons Solution,15-10-2023,21-10-2023,,,11.0,12.0,5.0,8.0,4.0,4.0,8.0,BAU Activity
dcarr@example.org,"Austin, Barnes and Marquez Initiative",30-04-2023,06-05-2023,,Can't wait to see the end result,,5.0,5.0,8.0,5.0,,4.0,BAU Activity
dan26@example.com,Greene Inc Initiative,02-07-2023,08-07-2023,,Ready to dive in,,5.0,,5.0,5.0,12.0,0.0,BAU Activity
melissa13@example.org,Schneider and Sons Solution,24-03-2024,30-03-2024,,,8.0,5.0,,4.0,4.0,3.0,0.0,Sales Activity
joseph44@example.org,Love Ltd Solution,07-05-2023,13-05-2023,,Eager to collaborate with the team,2.0,6.0,5.0,,6.0,,,BAU Activity
charlesmarshall@example.com,"Sanchez, Jackson and Scott Initiative",02-07-2023,08-07-2023,,Excited to get started!,2.0,4.0,,5.0,5.0,1.0,2.0,Sales Activity
nealjason@example.org,Simpson-Caldwell Project,17-03-2024,23-03-2024,,,0.0,11.0,5.0,5.0,5.0,,0.0,Sales Activity
zking@example.org,Gonzalez-Becker Initiative,15-10-2023,21-10-2023,,Eager to collaborate with the team,3.0,5.0,8.0,4.0,5.0,,1.0,BAU Activity
mcgeegina@example.net,Moreno-Jackson Project,15-01-2023,21-01-2023,,Feeling motivated,,,,,0.0,,,BAU Activity
malikmurray@example.org,Ward-Berg Initiative,08-01-2023,14-01-2023,,,2.0,,1.0,5.0,8.0,4.0,7.0,BAU Activity
smithmelody@example.com,Scott and Sons Project,03-07-2022,09-07-2022,,,4.0,,,,4.0,9.0,0.0,Sales Activity
jonescameron@example.com,Taylor LLC Project,01-05-2022,07-05-2022,,Looking forward to the challenge,3.0,,12.0,9.0,4.0,5.0,0.0,BAU Activity
moorechad@example.net,Schneider and Sons Solution,07-08-2022,13-08-2022,,,3.0,6.0,2.0,1.0,,6.0,,BAU Activity
goodmangregory@example.net,Gonzalez-Becker Initiative,27-11-2022,03-12-2022,,Feeling optimistic about this project,2.0,,5.0,1.0,5.0,3.0,0.0,BAU Activity
christine67@example.net,"Sanchez, Jackson and Scott Initiative",01-05-2022,07-05-2022,,Feeling motivated,9.0,11.0,7.0,11.0,4.0,,8.0,Sales Activity
linda35@example.org,"Chase, Molina and Mccoy Initiative",26-02-2023,04-03-2023,,Feeling motivated,0.0,,5.0,11.0,4.0,,1.0,Sales Activity
vaughnallison@example.net,Moreno-Jackson Project,22-01-2023,28-01-2023,,,11.0,8.0,4.0,8.0,6.0,5.0,3.0,Sales Activity
coxtina@example.net,"Diaz, Lam and Maldonado Project",10-07-2022,16-07-2022,,Feeling optimistic about this project,3.0,,,10.0,,0.0,9.0,Sales Activity
westdebra@example.org,Martin-Ball Project,15-01-2023,21-01-2023,,Ready to dive in,12.0,4.0,6.0,7.0,10.0,,2.0,Sales Activity
xlewis@example.net,Meyers-Nunez Project,16-04-2023,22-04-2023,,Hopeful for a successful outcome,,,,7.0,4.0,,2.0,BAU Activity
dawndiaz@example.com,"Diaz, Lam and Maldonado Project",08-05-2022,14-05-2022,,,1.0,5.0,4.0,,,,1.0,Sales Activity
paul67@example.com,"Turner, Evans and Reed Solution",24-12-2023,30-12-2023,,Feeling optimistic about this project,2.0,5.0,2.0,,6.0,7.0,0.0,Sales Activity
orozcorobert@example.net,"Adams, Mcgee and Baker Initiative",11-09-2022,17-09-2022,,,0.0,7.0,4.0,11.0,,,,Sales Activity
ramirezmadison@example.org,Li-Schwartz Project,19-11-2023,25-11-2023,,Feeling optimistic about this project,,8.0,5.0,,,9.0,0.0,BAU Activity
rogerskent@example.net,Ford LLC Solution,09-07-2023,15-07-2023,,,7.0,,2.0,,,,2.0,BAU Activity
frederickclifford@example.org,Gonzalez-Becker Initiative,03-12-2023,09-12-2023,,Eager to collaborate with the team,3.0,,1.0,4.0,,,1.0,Sales Activity
